Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes        
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,1642.242,48.7139,,7/15/2019,,,Buy,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,767.06,65.1807,,1/15/2021,,,Buy,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,449.396,66.7529,,3/19/2021,,,Buy,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,477.873,83.7001,,1/10/2022,,,Buy,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,130.674,76.5225,,2/7/2022,,,Buy,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,1430.873,69.8881,,4/12/2023,,,Sell,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,1425.834,70.1351,,4/24/2023,,,Sell,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,875.05,79.9962,,7/5/2023,,,Sell,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,782.63,89.44,,1/17/2024,,,Sell,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,490.641,101.9075047,,6/21/2024,,,Sell,,,
,0P0000XVU7.BO,Axis long term,,,MF_Mahak,INR,611.218,101.4171703,,2/7/2025,,,Sell,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,72.324,69.13,,2/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,308.579,64.81,,2/23/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,79.323,63.03,,3/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,71.856,69.58,,4/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,77.817,64.25,,5/9/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,158.773,62.98,,5/19/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,78.403,63.77,,6/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,78.711,63.52,,7/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,72.555,68.91,,8/10/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,69.956,71.47,,9/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,69.761,71.67,,10/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,69.77,71.66,,11/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,68.527,72.96,,12/7/2022,,,Buy,,,
,0P00011MAX.BO,Axis small cap,,,MF_Mahak,INR,70.152,71.27,,1/9/2023,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,177.8,28.12,,2/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,196.608,25.43,,3/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,176.857,28.27,,4/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,196.377,25.46,,5/9/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,198.955,25.13,,6/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,197.385,25.33,,7/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,181.413,27.56,,8/10/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,170.932,29.25,,9/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,169.713,29.46,,10/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,171.695,29.12,,11/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,169.254,29.54,,12/7/2022,,,Buy,,,
,0P0001F5O4.BO,BOI small cap,,,MF_Mahak,INR,174.939,28.58,,1/9/2023,,,Buy,,,
,0P0001FKEE.BO,canara robecco small cap,,,MF_Mahak,INR,428.244,23.35,,5/19/2022,,,Buy,,,
,0P0001FKEE.BO,canara robecco small cap,,,MF_Mahak,INR,377.767,26.47,,11/2/2022,,,Buy,,,
,0P0001FKEE.BO,canara robecco small cap,,,MF_Mahak,INR,806.011,39.43990839,,2/7/2025,,,Sell,,,
,0P0000XW04.BO,Canara robecco tax saver,,,MF_Mahak,INR,181.611,110.12,,5/19/2022,,,Buy,,,
,0P0000XW04.BO,Canara robecco tax saver,,,MF_Mahak,INR,154.947,129.07,,11/2/2022,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,333.689,44.952,,8/22/2017,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,331.221,45.287,,8/29/2017,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,216.628,46.162,,9/22/2017,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,325.464,46.088,,10/5/2017,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,326.42,45.953,,3/19/2018,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,253.078,79.023,,5/19/2022,,,Buy,,,
,0P0000XW2T.BO,dsp tax saver,,,MF_Mahak,INR,220.603,90.656,,11/2/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,29.644,168.66,,2/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,121.294,164.88,,2/23/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,30.307,164.97,,3/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,28.987,172.48,,4/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,32.893,152,,5/9/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,34.112,146.57,,6/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,35.284,141.7,,7/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,33.705,148.34,,8/10/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,35.135,142.3,,9/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,35.252,141.83,,10/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,34.24,146.02,,11/9/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,32.734,152.74,,12/7/2022,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,34.33,145.64,,1/9/2023,,,Buy,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,254.99,196.09,,1/19/2024,,,Sell,,,
,0P0000XUZ6.BO,ICICI Pru technology,,,MF_Mahak,INR,262.927,190.9389298,,4/16/2025,,,Sell,,,
,0P00017844.BO,Mirrae asset tax saver,,,MF_Mahak,INR,48.619,20.568,,1/13/2020,,,Buy,,,
,0P00017844.BO,Mirrae asset tax saver,,,MF_Mahak,INR,966.931,20.684,,1/15/2020,,,Buy,,,
,0P00017844.BO,Mirrae asset tax saver,,,MF_Mahak,INR,960.899,26.016,,1/15/2021,,,Buy,,,
,0P00017844.BO,Mirrae asset tax saver,,,MF_Mahak,INR,296.106,33.77,,2/7/2022,,,Buy,,,
,0P00017844.BO,Mirrae asset tax saver,,,MF_Mahak,INR,653.007,30.626,,5/19/2022,,,Buy,,,
,0P0001NCLP.BO,NASDAQ 100,,,MF_Mahak,INR,3292.233,9.1119,,2/2/2023,,,Buy,,,
,0P0001NCLP.BO,NASDAQ 100,,,MF_Mahak,INR,5600.58,8.9272,,2/6/2023,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,52.868,94.5696,,2/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,226.965,88.1148,,2/23/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,59.504,84.0231,,3/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,51.824,96.4762,,4/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,56.859,87.9328,,5/9/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,117.324,85.2296,,5/19/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,57.339,87.1957,,6/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,56.977,87.7502,,7/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,52.852,94.5997,,8/10/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,49.749,100.4986,,9/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,49.195,101.6316,,10/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,49.499,101.008,,11/11/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,47.752,104.7023,,12/7/2022,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,48.871,102.3057,,1/9/2023,,,Buy,,,
,0P0000XVFY.BO,Nippon small cap,,,MF_Mahak,INR,367.297,136.13,,9/18/2023,,,Sell,,,
,0P0001JMZB.BO,S&P 500,,,MF_Mahak,INR,1945.1,15.4226,,2/2/2023,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,23.223,215.2936,,2/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,96.803,206.5948,,2/23/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,25.314,197.5131,,3/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,22.849,218.8167,,4/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,23.838,209.7352,,5/9/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,23.894,209.2482,,6/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,23.592,211.9282,,7/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,22.03,226.953,,8/10/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,21.231,235.4896,,9/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,21.382,233.8255,,10/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,20.599,242.7147,,11/9/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,20.069,249.1334,,12/7/2022,,,Buy,,,
,0P0000XVJR.BO,SBI contra,,,MF_Mahak,INR,20.411,244.9502,,1/9/2023,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,244.719,40.8612,,2/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,249.093,40.1436,,3/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,237.44,42.1138,,4/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,272.235,36.7311,,5/9/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,587.582,34.0361,,5/19/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,283.125,35.3183,,6/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,291.656,34.2853,,7/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,276.466,36.169,,8/10/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,288.322,34.6817,,9/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,289.313,34.5629,,10/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,280.626,35.6328,,11/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,270.086,37.0234,,12/7/2022,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,283.152,35.3149,,1/9/2023,,,Buy,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,2089.864,47.85,,4/11/2025,,,Sell,,,
,0P0001784G.BO,Tata Digital,,,MF_Mahak,INR,1763.76,48.84451399,,4/15/2025,,,Sell,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,216.811,23.0604,,2/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,244.981,20.4087,,3/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,220.865,22.6371,,4/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,228.35,21.8951,,5/9/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,231.605,21.5874,,6/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,231.264,21.6192,,7/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,219.197,22.8094,,8/8/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,205.377,24.3443,,9/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,200.475,24.9395,,10/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,199.565,25.0533,,11/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,190.931,26.1861,,12/7/2022,,,Buy,,,
,0P0001EUZZ.BO,Tata small cap,,,MF_Mahak,INR,193.199,25.8788,,1/9/2023,,,Buy,,,
,0P0000XVSQ.BO,UTI Long term,,,MF_Mahak,INR,63.709,156.9555,,2/7/2022,,,Buy,,,
,0P0000XVSQ.BO,UTI Long term,,,MF_Mahak,INR,63.709,214.6792447,,2/7/2025,,,Sell,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,176.741,28.29,,8/8/2017,,,Buy,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,177.557,28.16,,8/29/2017,,,Buy,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,175.439,28.5,,9/4/2017,,,Buy,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,386.698,25.86,,10/11/2018,,,Buy,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,264.817,37.76,,2/12/2021,,,Buy,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,261.836,38.19,,3/3/2021,,,Buy,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,176.741,31.92,,8/16/2018,,,Sell,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,137.925,31.6008,,8/16/2018,,,Sell,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,175.439,31.72,,6/6/2019,,,Sell,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,141.235,31.4028,,6/6/2019,,,Sell,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,772.116,46.32,,5/17/2023,,,Sell,,,
,0P00011MKZ.BO,adity birla banking finance,,,MF_Vikash,INR,39.632,46.32,,5/17/2023,,,Sell,,,
,0P0000XVXV.BO,Aditya Birla Digital,,,MF_Vikash,INR,195.322,102.39,,3/4/2021,,,Buy,,,
,0P0000XVXV.BO,Aditya Birla Digital,,,MF_Vikash,INR,189.331,105.63,,4/13/2021,,,Buy,,,
,0P0000XVXV.BO,Aditya Birla Digital,,,MF_Vikash,INR,40.494,123.47,,7/5/2021,,,Buy,,,
,0P0000XVXV.BO,Aditya Birla Digital,,,MF_Vikash,INR,40.881,122.3,,7/13/2021,,,Buy,,,
,0P0000XVYC.BO,aditya birla elss,,,MF_Vikash,INR,340.483,29.37,,7/24/2017,,,Buy,,,
,0P0000XVYC.BO,aditya birla elss,,,MF_Vikash,INR,332.226,30.1,,10/4/2017,,,Buy,,,
,0P0000XVYC.BO,aditya birla elss,,,MF_Vikash,INR,1322.314,30.25,,10/8/2018,,,Buy,,,
,0P0000XVYC.BO,aditya birla elss,,,MF_Vikash,INR,656.599,30.46,,10/11/2018,,,Buy,,,
,0P0000XVYC.BO,aditya birla elss,,,MF_Vikash,INR,1995.023,43.63,,2/17/2023,,,Sell,,,
,0P0000XVYC.BO,aditya birla elss,,,MF_Vikash,INR,656.599,43.48,,2/21/2023,,,Sell,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,2.839,704.4,,7/17/2017,,,Buy,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,1.42,704.4,,7/17/2017,,,Buy,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,2.85,701.86,,8/21/2017,,,Buy,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,7.055,708.69,,8/29/2017,,,Buy,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,9.556,1046.39,,3/3/2021,,,Buy,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,10.976,1195.92,,2/28/2023,,,Sell,,,
,0P0000XVWD.BO,aditya birla equity,,,MF_Vikash,INR,12.744,1176.4,,3/14/2023,,,Sell,,,
,0P0000XVY6.BO,aditya birla small cap,,,MF_Vikash,INR,740.392,33.7659,,10/29/2018,,,Buy,,,
,0P0000XVY6.BO,aditya birla small cap,,,MF_Vikash,INR,210.437,47.5177,,3/3/2021,,,Buy,,,
,0P0000XVY6.BO,aditya birla small cap,,,MF_Vikash,INR,87.466,57.1625,,7/13/2021,,,Buy,,,
,0P0000XVY6.BO,aditya birla small cap,,,MF_Vikash,INR,1038.295,57.018,,2/16/2023,,,Sell,,,
,0P0000XVTL.BO,axis bluechip,,,MF_Vikash,INR,235.449,42.47,,1/22/2021,,,Buy,,,
,0P0000XVTL.BO,axis bluechip,,,MF_Vikash,INR,462.833,43.21,,3/2/2021,,,Buy,,,
,0P0000XVTL.BO,axis bluechip,,,MF_Vikash,INR,226.489,44.15,,3/3/2021,,,Buy,,,
,0P0000XVTL.BO,axis bluechip,,,MF_Vikash,INR,924.771,49.06,,5/19/2023,,,Sell,,,
,0P0000XVTR.BO,axis focused,,,MF_Vikash,INR,233.579,42.81,,3/12/2021,,,Buy,,,
,0P0000XVTR.BO,axis focused,,,MF_Vikash,INR,233.579,42.91,,2/17/2023,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,43.499,1839.1268,,7/18/2017,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,51.858,1928.3435,,4/3/2018,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,50.522,1979.3242,,8/13/2018,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,20.201,1980.0722,,8/16/2018,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,87.394,2059.6396,,2/28/2019,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,38.66,2069.3446,,3/25/2019,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,18.806,2126.9616,,8/13/2019,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,79.152,2147.7651,,10/14/2019,,,Buy,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,16.294,1841.1262,,7/24/2017,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,10.836,1845.7488,,8/7/2017,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,16.23,1848.3991,,8/15/2017,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,175.543,2278.6408,,3/2/2021,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,87.761,2278.9237,,3/4/2021,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,60.767,2468.4615,,1/22/2023,,,Sell,,,
,0P0000XVUB.BO,axis liquid,,,MF_Vikash,INR,22.661,2475.8441,,2/8/2023,,,Sell,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,124.861,40.0444,,7/24/2017,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,237.278,42.1447,,9/21/2017,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,240.628,41.5579,,9/22/2017,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,954.28,41.9164,,10/8/2018,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,1390.1,50.3561,,10/14/2019,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,768.651,65.0458,,1/22/2021,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,734.17,68.1007,,2/9/2021,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,294.91,67.814,,3/2/2021,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,290.08,68.9431,,3/4/2021,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,149.052,67.0875,,4/30/2021,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,135.092,74.02,,7/5/2021,,,Buy,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,1388.521,72.0198,,5/3/2023,,,Sell,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,1558.626,76.8357,,6/8/2023,,,Sell,,,
,0P0000XVU7.BO,Axis Long Term,,,MF_Vikash,INR,1467.25,88.6,,2/14/2024,,,Sell,,,
,0P0000XVUH.BO,Axis Mid Cap,,,MF_Vikash,INR,329.256,60.74,,3/2/2021,,,Buy,,,
,0P0000XVUH.BO,Axis Mid Cap,,,MF_Vikash,INR,329.256,117.9295138,,2/7/2025,,,Sell,,,
,0P00011MAX.BO,Axis Small Cap,,,MF_Vikash,INR,213.391,46.86,,3/2/2021,,,Buy,,,
,0P00011MAX.BO,Axis Small Cap,,,MF_Vikash,INR,85.51,58.47,,7/5/2021,,,Buy,,,
,0P00011MAX.BO,Axis Small Cap,,,MF_Vikash,INR,83.832,59.64,,7/12/2021,,,Buy,,,
,0P00011MAX.BO,Axis Small Cap,,,MF_Vikash,INR,379.488,79.05,,6/8/2023,,,Buy,,,
,0P00011MAX.BO,Axis Small Cap,,,MF_Vikash,INR,762.22,111.8981396,,3/24/2025,,,Sell,,,
,0P0000XVYQ.BO,BNP paribas large cap,,,MF_Vikash,INR,151.611,131.91,,3/2/2021,,,Buy,,,
,0P0000XVYQ.BO,BNP paribas large cap,,,MF_Vikash,INR,151.611,165.0939,,5/17/2023,,,Sell,,,
,0P0000XW00.BO,canara emerging equity,,,MF_Vikash,INR,74.027,135.08,,1/22/2021,,,Buy,,,
,0P0000XW00.BO,canara emerging equity,,,MF_Vikash,INR,68.219,146.58,,3/3/2021,,,Buy,,,
,0P0000XW00.BO,canara emerging equity,,,MF_Vikash,INR,138.382,144.52,,3/12/2021,,,Buy,,,
,0P0000XW00.BO,canara emerging equity,,,MF_Vikash,INR,61.718,162.02,,7/12/2021,,,Buy,,,
,0P0000XW00.BO,canara emerging equity,,,MF_Vikash,INR,342.346,184.58,,5/17/2023,,,Sell,,,
,0P0000XW00.BO,canara equity,,,MF_Vikash,INR,516.236,38.74,,3/2/2021,,,Buy,,,
,0P0000XW00.BO,canara equity,,,MF_Vikash,INR,516.236,44.89,,3/14/2023,,,Sell,,,
,0P0000XW24.BO,DSP Small Cap,,,MF_Vikash,INR,222.618,134.753,,6/8/2023,,,Buy,,,
,0P0000XW2T.BO,DSP Tax Saver,,,MF_Vikash,INR,222.524,44.939,,7/24/2017,,,Buy,,,
